BUSINESS NAME,BUSINESS OPEN DATE,BUSINESS STATUS,BUSINESS CLOSE DATE,NAICS CODE,NAICS CATEGORY,NAICS GROUP,FULL STREET NAME,CITY,STATE,LATITUDE,LONGITUDE
TWO WHISKEY HOTEL LLC,03/01/2019,O,,532000,Rental & Leasing Services,FINANCE & INSURANCE,N MISSION HILLS AVE,BATON ROUGE,LA,-91.032043026212,30.330763285121
CRAZY BOUT CAJUN LLC,07/01/2018,O,,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),RHONDA AVE,BATON ROUGE,LA,-91.011811586929,30.443779075063
HILIFE WONDERLAND LLC,02/06/2018,O,,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),W STATE ST,BATON ROUGE,LA,-91.177413572184,30.417980594212
RED IRON CONSTRUCTION INC,01/01/2015,O,,238000,Specialty Trade Contractors,CONSTRUCTION ( C ),JEFFERSON HWY,BATON ROUGE,LA,-91.046805875408,30.394599854816
RECREATION & PARK COMMISSION FOR THE PARISH OF EBR,06/03/2013,O,,713000,"Amusement, Gambling & Recreation Industries","ARTS, ENTERTAINMENT & RECREATION (I)",INDEPENDENCE BLVD,BATON ROUGE,LA,-91.105177891363,30.444777598507
STEP BY STEP INFANT AND LEARNING CENTER LLC,01/01/2013,O,,611000,Educational Services,EDUCATIONAL SERVICES (I),NORTH BLVD,BATON ROUGE,LA,-91.145682104347,30.448258107739
REGINALD JAMES,09/12/2014,C,02/02/2016,811000,Repair & Maintenance,OTHER SERVICES (I),LOFASO ST,BATON ROUGE,LA,-91.149865048685,30.451284668864
KNE AUTO SALES LLC,01/01/2017,O,,441000,Motor Vehicle & Parts Dealer,RETAIL TRADE (G),PLANK RD,BATON ROUGE,LA,-91.157761176429,30.485993207379
MARSANNE GOLSBY,01/02/2012,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),HEARTHSTONE DR,BATON ROUGE,LA,-91.15651752509,30.447119217727
RECREATION & PARK COMMISSION FOR THE PARISH EBR,06/03/2013,O,,713000,"Amusement, Gambling & Recreation Industries","ARTS, ENTERTAINMENT & RECREATION (I)",LOVETT RD,BATON ROUGE,LA,-91.062915142179,30.53905729266
ADRIEN BRADFOR,03/28/2018,O,,454000,Nonstore Retailers,RETAIL TRADE (G),AMARILLO ST,BATON ROUGE,LA,-91.155499388515,30.500321261688
JASMIN BEAUTY INC,01/06/2017,O,,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),GREENWELL SPRINGS RD,BATON ROUGE,LA,-91.086652899928,30.484153513372
SHANIQUA ALLEN,01/02/2019,O,,454000,Nonstore Retailers,RETAIL TRADE (G),EATON ST,BATON ROUGE,LA,-91.147266165624,30.483914497998
XBIO LLC,12/22/2017,O,,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),FLORIDA BLVD,BATON ROUGE,LA,-91.053248060623,30.458476686624
XBIO LLC,12/22/2017,O,,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),FLORIDA BLVD,BATON ROUGE,LA,-91.053258439614,30.458511196852
SCALLAN SOLUTIONS LLC,03/22/2018,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),E FORT PICKENS AVE,BATON ROUGE,LA,-90.990122290206,30.406667416946
GRAF FINANCIAL LLC,01/01/2011,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),QUAIL RUN DR,BATON ROUGE,LA,-91.126977448671,30.405621794061
BETHANY LEGER,06/01/2015,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),GOODWOOD BLVD,BATON ROUGE,LA,-91.093990708469,30.442218368393
REGENCY LIGHTING INC,03/25/2015,O,,442000,Furniture & Home Furnishing Stores,RETAIL TRADE (G),DRUSILLA LN,BATON ROUGE,LA,-91.089658028781,30.420827612327
MONTRELL LAURENTT BLAKES,11/01/2016,O,,238000,Specialty Trade Contractors,CONSTRUCTION ( C ),S ALAMEDA DR,BATON ROUGE,LA,-91.086489851821,30.462649806126
CLINT BLANE PHOTOGRAPHY LLC,04/01/2017,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),JEFFERSON HWY,BATON ROUGE,LA,-91.106679294744,30.428130255686
POPALETAS MICHOACAN LLC,08/09/2018,O,,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),S HAVENPARK CT,BATON ROUGE,LA,-91.062985629185,30.456327324106
COLE SNOW BLIZZARD LLC,07/01/2015,O,,445000,Food & Beverage Stores,RETAIL TRADE (G),WINBOURNE AVE,BATON ROUGE,LA,-91.148099334425,30.478466222783
BRIAN C CHISHOLM D D S LLC,07/03/2017,O,,621000,Ambulatory Health Care Services,HEALTH CARE & SOCIAL ASSISTANCE (I),SHADOWS LN,BATON ROUGE,LA,-91.097780481722,30.445731642504
TJC BUILDERS LLC,01/02/2016,O,,236000,Construction of Buildings,CONSTRUCTION ( C ),ROSE HILL DR,BATON ROUGE,LA,-90.991997534255,30.389010702134
CRESCENT HEALTH GROUP LLC,03/01/2015,O,,611000,Educational Services,EDUCATIONAL SERVICES (I),GOODWOOD BLVD,BATON ROUGE,LA,-91.10161518067,30.44332295887
J & E MEDICAL TRANSPORTATION LLC,12/01/2017,O,,485000,Transit & Ground Passenger Transportation,TRANSPORTATION & WAREHOUSING (E),CLEARVIEW AVE,BATON ROUGE,LA,-91.120630171432,30.547623758893
BRENTON OVERTON JR,05/01/2018,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),E POLK ST,BATON ROUGE,LA,-91.179435658269,30.42672735273
WALKER VENTURE CAPITAL LLC,09/01/2015,O,,521000,Monetary Authorities,FINANCE & INSURANCE,GALERIA DR,BATON ROUGE,LA,-91.050473768516,30.405442854853
RECREATION & PARK COMMISSION FOR PARISH BATON ROUG,06/03/2013,O,,713000,"Amusement, Gambling & Recreation Industries","ARTS, ENTERTAINMENT & RECREATION (I)",JEFFERSON HWY,BATON ROUGE,LA,-91.101178050941,30.424906545436
CHABILLS TIRE SERVICE LLC,05/01/2018,O,,811000,Repair & Maintenance,OTHER SERVICES (I),AIRLINE HWY,BATON ROUGE,LA,-91.049853633989,30.392665442166
CELEBRITY THEATRES OF BATON ROUGE LLC,11/15/2016,O,,512000,Motion Picture & Sound Recording Industries,SERVICES,GEORGE O'NEAL RD,BATON ROUGE,LA,-91.014552696281,30.4094969549
ANTIONE LACEY,07/01/2016,O,,454000,Nonstore Retailers,RETAIL TRADE (G),ROSENWALD RD,BATON ROUGE,LA,-91.18308489375,30.531652531849
ALESIA GALES,03/01/2015,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),CONVENTION ST,BATON ROUGE,LA,-91.148057699612,30.449752462965
DON NEAL,01/05/2017,O,,238000,Specialty Trade Contractors,CONSTRUCTION ( C ),FINCH ST,BATON ROUGE,LA,-91.16290202145,30.525753523354
SCOOPS AUTO LLC,04/20/2017,O,,441000,Motor Vehicle & Parts Dealer,RETAIL TRADE (G),PLANK RD,BATON ROUGE,LA,-91.166884659857,30.462098741054
N'FINITY DESIGNS BY DORCAS LLC,01/01/2019,O,,454000,Nonstore Retailers,RETAIL TRADE (G),CLEARVIEW AVE,BATON ROUGE,LA,-91.12073571469,30.547011695489
LEARNING SMART LLC,01/01/2012,C,10/30/2020,611000,Educational Services,EDUCATIONAL SERVICES (I),PERKINS RD,BATON ROUGE,LA,-91.106857637484,30.393738191034
GO METRO INC 7,06/02/2015,O,,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),O'NEAL LN,BATON ROUGE,LA,-91.008545599957,30.43735062449
TOMMYS  WINDOWS DOORS AND SIDING,11/30/2016,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),BERMUDA AVE,BATON ROUGE,LA,-91.102568265753,30.391998030962
FAITH AUBREYS IMPRINTS LLC,10/24/2018,O,,454000,Nonstore Retailers,RETAIL TRADE (G),TIGER BEND RD,BATON ROUGE,LA,-91.007870110681,30.391546803812
